vrečka 2 (cela),cela,sredina zlomljene,konec zlomljen
,12.2,9.3,9.4
,12.4,1.2,8.2
,12.4,3.9,8.8
,12.4,4.7,3.7
,12,,10.8
,12.3,,2.5
,12.4,,8.7
,12.8,,7.3
,12.3,,9
,12.8,,5.4
,12.2,,8.1
,12.3,,7.6
,12.4,,10
,12.4,,5.7
,12.4,,6.7
,12.5,,5
,12.4,,9
,12,,4
,12.6,,11.4
,12.3,,11.6
,12.5,,8.8
,12.3,,9.3
,12.4,,3.3
,12.4,,4.2
,12.5,,5.5
,12.6,,4.8
,12.6,,4.2
,12.4,,7.4
,12.3,,11.2
,12,,3.7
,12.3,,3.2
,12.7,,2.2
,12.6,,4.6
,12.7,,7.1
,12.4,,8
,12.4,,3.8
,12,,5.9
,12.4,,7.1
,12.1,,6
,12.3,,7.7
,12.4,,5.8
,12.3,,4.7
,12.3,,7.2
,12.6,,8.9
,12.4,,8.9
,12.3,,5.1
,12.7,,5.5
,,,6.6
,,,3.2
,,,3.7
